name	meanImp	medianImp	minImp	maxImp	normHits	decision
C03264	1.8489890123111	1.93830288399203	-1.00100150250438	3.12477717759535	0.633266533066132	Confirmed
C00673	1.79337646144984	1.84148533749889	-0.677855094216729	3.01240828009332	0.599198396793587	Confirmed
C02630	3.92616203250313	3.91926501490606	2.1833854964982	5.44295958023036	0.997995991983968	Confirmed
C00170	2.30692568727073	2.33508005090095	-0.192638583059231	3.76207171547066	0.817635270541082	Confirmed
C18170	3.52130217904079	3.50976632905375	1.91096808959706	5.0293794691959	0.997995991983968	Confirmed
C06192	2.31210742557006	2.35978744236982	-0.0629319267886022	3.63195389828941	0.833667334669339	Confirmed
C00267	4.27927065073545	4.27766769767262	2.17389414639175	5.79864742422962	1	Confirmed
C05378	3.39046520897979	3.4028642330114	1.9695066919782	4.75261367019914	0.997995991983968	Confirmed
C00307	2.47186452806188	2.54059872072809	0.793526545478343	3.6362634845562	0.869739478957916	Confirmed
C00570	2.39409279353492	2.39546572491246	0.089279860912458	3.73911440726432	0.901803607214429	Confirmed
C05673	2.15501079649777	2.2125156552846	-1.29448842297435	3.51026971561407	0.767535070140281	Confirmed
C05674	4.26128292366644	4.26049221235987	2.08972857939463	5.62976143852019	0.997995991983968	Confirmed
C00010	2.21957038337451	2.267799786498	-1.00100150250438	3.57890394879922	0.783567134268537	Confirmed
C05851	1.76357471667178	1.8330622087599	-0.785732736034674	3.5604295806292	0.605210420841683	Confirmed
C00352	1.93046525825145	1.96054433178502	-1.00100150250438	3.22466530693545	0.643286573146293	Confirmed
C00013	2.54173008430243	2.57094001915837	0.190138020492166	3.94449449270748	0.897795591182365	Confirmed
C00365	3.99492491482081	4.03294615450001	2.34630578808046	5.17352395974964	1	Confirmed
C00719	1.80702929265111	1.87776705093058	-0.492529549398917	3.29644099431221	0.581162324649299	Confirmed
C00242	3.89984754022704	3.90851658188646	2.33792200965028	5.27609104217721	1	Confirmed
C00519	1.79839991746713	1.8768413514599	-1.00100150250438	3.18789247206075	0.591182364729459	Confirmed
C00490	2.56656151121644	2.57940458857368	0.502688071891021	4.03723798352109	0.925851703406814	Confirmed
C05938 	3.8388563669922	3.88939730304508	1.37046584417518	5.13157872430619	0.997995991983968	Confirmed
C02291	4.37340855301508	4.37892568419635	2.72650310416608	5.910377266347	1	Confirmed
C00097	2.09224416379367	2.1490140535849	-0.693250699475428	3.7965035811697	0.719438877755511	Confirmed
C02045	5.09281093040234	5.10248157948926	3.3144369720156	6.74394964677089	1	Confirmed
C02985	3.7410740746133	3.75461577137294	2.10893234855237	4.86890357877181	1	Confirmed
C00025	3.88613843594703	3.88616139778768	2.21346332863563	5.45636404382706	1	Confirmed
C00407	3.51578121964529	3.54727059589372	1.81336134058891	4.9743548005549	0.997995991983968	Confirmed
C00073	5.14266137849216	5.1634829681242	3.13418012276534	6.55675104754291	1	Confirmed
C00079	2.46474378868928	2.47862854012536	0	4.01312375912634	0.895791583166333	Confirmed
C00148	3.50824153109621	3.51282374250137	1.81247535462499	4.84339093639447	0.997995991983968	Confirmed
C00149	2.91581058748447	2.95497260607845	1.08022550841274	4.48403382489402	0.957915831663327	Confirmed
C03406	2.38176742231556	2.42815596742852	-0.0387202126844554	3.67237901692781	0.86372745490982	Confirmed
C03413	3.63596375348226	3.66430633380892	1.56117668115911	4.86821435098337	0.995991983967936	Confirmed
C03793	2.5038902770612	2.5221815054137	0.717707609865204	3.96297426525173	0.891783567134269	Confirmed
C00153	2.47001798954339	2.52243342046769	-0.0544551023667189	3.88692638861341	0.897795591182365	Confirmed
C13482	1.80238381843733	1.91268889725089	-1.00100150250438	3.06426100241321	0.599198396793587	Confirmed
C00022	4.24413407467207	4.25177238963294	2.19640039830845	5.75197941164613	1	Confirmed
C00255	3.80439249611612	3.80935762749593	2.2974100879985	5.64942533604718	1	Confirmed
C00447	2.33407942180649	2.35419211566564	0.59858897780631	3.69388051053859	0.857715430861723	Confirmed
C00670	1.92444435216019	1.98060388009985	-0.456194021343808	3.76825290621681	0.659318637274549	Confirmed
C00042	3.5223376399149	3.53631663769692	1.23453050516053	4.79947275195106	0.997995991983968	Confirmed
C00167	2.42117649872773	2.44447864545751	-1.00100150250438	3.96972336570063	0.865731462925852	Confirmed
C00106	1.8474913712254	1.92441002032928	-1.00100150250438	3.48064615438036	0.609218436873748	Confirmed
