normal	tumor	MeanDecreaseAccuracy	MeanDecreaseGini	names	raw
4.79708697593765	4.71442385749958	5.09262143358368	0.750920487096933	C00073	C00073
4.42440072921524	3.98767855478517	4.55296695626117	0.488191283740949	C02045	C02045
4.22765408188185	3.65099564563193	4.38993515808521	0.475707787296317	C00022	C00022
4.2555422131816	3.87735131247199	4.27294272049026	0.713121012256162	C05674	C05674
3.77787615699065	3.73379448129009	4.01518747981194	0.483860275670378	C05938.	C05938 
3.78248277642926	3.73551868696384	3.99025278254557	0.454995567715017	C03413	C03413
3.93084204073773	3.34236183097652	3.81308074853886	0.413548282831165	C02291	C02291
3.50884976970947	2.82374616900749	3.61607630834792	0.205664223280188	C00267	C00267
3.8415908736799	2.93755743929307	3.59277417052757	0.491624673083721	C00407	C00407
3.4871522816052	2.68743422902733	3.32352291696565	0.28198400309368	C00025	C00025
3.28603898110493	2.69069843868795	3.28225048717587	0.346403814418545	C02985	C02985
3.2519453796293	2.81334883521253	3.24880319823436	0.24330104872324	C00490	C00490
3.1289546995485	3.06542235122473	3.23828693539363	0.253888576430727	C00106	C00106
3.07737507845076	2.22971365208445	3.19641465257463	0.235255462732503	C02630	C02630
2.86461738690768	2.91428634642636	3.18933222882407	0.397755186590765	C00365	C00365
3.16995685397946	2.88488837145019	3.18802151511045	0.285477332368354	C00042	C00042
2.635905853744	1.86937399909199	3.16307846170495	0.308594463719531	C00149	C00149
3.00251810896347	3.01244532104521	3.09818972215348	0.315332668858046	C05378	C05378
2.99318969649468	2.68821487660055	3.04761782290334	0.348797035307092	C00242	C00242
2.84353625278771	2.93938188515911	3.04487679197355	0.300289866455326	C00255	C00255
2.37079066419789	2.6606162701005	2.68564390413563	0.232936809766351	C00148	C00148
2.753242474737	2.40551550665874	2.66969257235814	0.176707166952803	C00079	C00079
2.54359482743984	2.35061027664529	2.6651878724652	0.168122577553942	C05851	C05851
1.93073927126506	2.36652866671815	2.59637121365896	0.179890019057476	C03793	C03793
2.74594071994763	2.18023969010002	2.54591886499975	0.213271350432843	C18170	C18170
2.15865903130312	2.3790701405789	2.45151248225484	0.218476405434839	C00570	C00570
1.62025380250775	2.37408516004264	2.417921200589	0.143115425805666	C00307	C00307
2.52890558433148	1.86027069302115	2.41400765063189	0.122221168079233	C00010	C00010
2.1026098569296	1.40834895880057	2.37144313180567	0.0383815114709852	C01601	C01601
2.14391481464491	1.93675179153525	2.30711119546078	0.0670019274088983	C00047	C00047
2.02411333712561	2.28591414976433	2.25541345449594	0.129187575949246	C00029	C00029
2.21238627568664	1.86402991521628	2.21546583909128	0.164464190252306	C00352	C00352
1.00100150250438	2.10298935802988	2.11231414693917	0.0411214795008913	C05100	C05100
2.11108356732553	0.413289968722748	2.10025053860597	0.198666887887017	C03406	C03406
1.84658623750139	1.70163194268022	2.09223216506032	0.084868982630273	C00190	C00190
2.46125140153627	1.15428039369486	2.05869343574227	0.130072940653341	C05673	C05673
1.71459504531897	1.60068601010566	1.97789832767399	0.122691387307611	C00097	C00097
1.91337918000764	1.98770612744662	1.9683824893713	0.0758784595898348	C13482	C13482
1.73291748303345	1.67787018482524	1.92617137355158	0.125807381162065	C00122	C00122
1.91137809148733	1.90740181666818	1.91909127590075	0.160597509529098	C00170	C00170
1.80103489098278	1.96414727285364	1.91259520979844	0.0385249499038973	C02305	C02305
1.82294139205939	0.672996192588816	1.88022232466221	0.0956279389175025	C00673	C00673
1.95680892498054	1.70265052719347	1.87788951904657	0.0404817207410586	C03264	C03264
1.00100150250438	1.94998927276847	1.86590237150166	0.0662483358934972	C01419	C01419
0.967641249645229	1.89178884038839	1.81886777260093	0.14797674955803	C00167	C00167
1.91829424382386	1.00100150250438	1.81032400389161	0.0716677628174283	C11924	C11924
2.07320196254586	0.106612323344101	1.78807201888586	0.163070829191892	C00153	C00153
0	1.69975302666866	1.73556617742716	0.0248487666034156	C14825	C14825
1.73364128703231	1.49001294553736	1.70368851629289	0.154450946950782	C00180	C00180
0	1.71351027480322	1.68517768950338	0.0214638569859183	C00519	C00519
1.00100150250438	1.72086627591066	1.65797472299213	0.0535750730399687	C05635	C05635
2.09284062764349	1.22616965536491	1.65756447368052	0.14029221535813	C06192	C06192
1.00100150250438	1.72086627591066	1.64872776461983	0.0797987349778621	C00144.	C00144 
0	1.59009456763006	1.62442460569592	0.10692953826692	C00719	C00719
2.15692295712935	-1.38942503594182	1.62373785926372	0.157017819057448	C00041	C00041
1.99468790562554	-0.0480334194022206	1.61413582124706	0.0844236559139785	C00447	C00447
1.26352663630663	1.0168485405045	1.58513818730141	0.136745454545455	C00082	C00082
1.70266414755955	1.00100150250438	1.58346338551198	0.0705253920757716	C00670	C00670
1.79538613281246	0.581590782110083	1.4734032366032	0.128356159215242	C00013	C00013
0	1.41705050316284	1.41705050316284	0.00756725146198831	C00015	C00015
1.00100150250438	1.00100150250438	1.41705050316284	0.0176937441643324	C16513	C16513
1.38062136715865	0	1.4159136794715	0.018474322169059	C00137	C00137
1.00100150250438	1.00100150250438	1.41570766814705	0.0113005847953216	C00062	C00062
1.41120774204966	0	1.41570766814705	0.0286725399837354	C00624	C00624
1.00100150250438	0.372155736591365	1.415440166742	0.0220210864404413	C00114	C00114
1.41705050316284	1.36692904431769	1.41389939741034	0.066268305171531	C00438	C00438
0.200008000480032	1.37457856297529	1.41285987182396	0.0311725399837354	C05660	C05660
1.36692904431769	1.00100150250438	1.40834895880057	0.0106071428571429	C00881	C00881
1.38062136715865	0	1.3976941536882	0.0140588235294118	C05581	C05581
