logFC	AveExpr	t	p_value	adj.P.Val	B	logP	name
6.91504070956606	23.073904955026	11.2699297909369	1.14534225510058e-12	2.03401331083313e-08	17.739252137902	7.6916462093275	APH1B
21.3908301112237	23.4258711294296	10.6243865727541	5.12960984510855e-12	4.55483706196414e-08	16.4660363837177	7.34152715422458	GFRA1
-5.75741611566609	24.3543594210255	-10.0896488316229	1.8490609827619e-11	8.91357321104446e-08	15.3625938278204	7.04994816411631	RFC4
10.4578006259095	14.7966227187703	10.0558461416287	2.00767457875882e-11	8.91357321104446e-08	15.2913342033862	7.04994816411631	FAM47E
-10.8028364946527	20.5829218157902	-9.7903131882534	3.85223914614489e-11	1.36823829992774e-07	14.7252847728458	6.8638382569063	ORC6
4.02304776600191	5.64852989763405	9.68695578970789	4.97691807354774e-11	1.47308480113557e-07	14.5019339764961	6.83177225138876	FAM87B
-10.7853115059559	22.5993036950998	-9.62009216451242	5.8783061484812e-11	1.48584441556068e-07	14.3565416691415	6.8280266636582	E2F1
-7.12160784340942	25.7924635272789	-9.56809667317983	6.69336974181284e-11	1.48584441556068e-07	14.2429889136739	6.8280266636582	MASTL
-12.2173496753717	12.6620580254683	-9.48879762940654	8.16482145822492e-11	1.50267566501692e-07	14.0689811979028	6.82313474668755	ZNF695
-4.55325491301951	27.9774227205127	-9.47459009859627	8.46148806248618e-11	1.50267566501692e-07	14.0376997663902	6.82313474668755	DNAJC2
-8.60432282604505	22.7077388892136	-9.30387989575423	1.30192816696019e-10	1.85245543244339e-07	13.659331326368	6.73225223175713	STIL
6.38070133347012	25.9405114136253	9.28066320645564	1.38091362911919e-10	1.85245543244339e-07	13.6075154887333	6.73225223175713	DIXDC1
5.9048948237051	28.3523123836393	9.26468027037261	1.43811597308037e-10	1.85245543244339e-07	13.5717944746638	6.73225223175713	CRY2
-11.4324580515827	16.9724894891494	-9.16813606378331	1.83899561472329e-10	1.85245543244339e-07	13.3551614746937	6.73225223175713	CENPA
-9.67728783581467	22.067681746682	-9.16412373755869	1.85793355101241e-10	1.85245543244339e-07	13.3461263305122	6.73225223175713	GINS1
-12.1470896544638	19.0747099733269	-9.14442787775471	1.95382316016606e-10	1.85245543244339e-07	13.3017372667446	6.73225223175713	EXO1
-10.3755631402659	21.4953937657993	-9.14269744103933	1.9624854636616e-10	1.85245543244339e-07	13.2978343994246	6.73225223175713	TROAP
11.7911023779354	42.8155730543745	9.13386093349642	2.00733438012098e-10	1.85245543244339e-07	13.2778969369687	6.73225223175713	TXNIP
-11.9154206504579	20.9526208361533	-9.12810184525424	2.03712555553323e-10	1.85245543244339e-07	13.2648962754409	6.73225223175713	HJURP
9.87800858852091	38.120605305507	9.11879679010767	2.08621592707178e-10	1.85245543244339e-07	13.2438797871788	6.73225223175713	IL6ST
7.06976494897707	11.6495882790332	9.05043969749971	2.48588390180251e-10	2.10222915295766e-07	13.0890675406301	6.67731994556717	PRKN
-9.87401114042485	17.4936254032082	-8.99857849273211	2.84059806660867e-10	2.29300823022288e-07	12.9711213760133	6.63959438646763	CENPI
-12.5663570619924	20.9115145937406	-8.96264630729559	3.11627271669225e-10	2.40616900764077e-07	12.8891528357385	6.61867387138189	KIF18B
-13.6334071715368	23.200522722732	-8.8531323440053	4.13700295222428e-10	3.06120980952296e-07	12.6380734573906	6.51410690366126	UBE2C
15.3563635515355	23.6560419364808	8.81339027745454	4.5867780019454e-10	3.25826362146194e-07	12.546491176135	6.4870137804589	THSD4
-10.6698539106464	21.1940479033818	-8.78407053139261	4.95030751773451e-10	3.34354306699398e-07	12.4787672333481	6.47579307843466	XRCC2
12.4704249704118	19.4732729305948	8.7738837602521	5.08337534820865e-10	3.34354306699398e-07	12.4552058391875	6.47579307843466	PDE2A
-6.23430533069464	32.1108502471597	-8.7400169639246	5.55256141497839e-10	3.52171207745005e-07	12.3767570156834	6.45324615327677	SRPK1
-4.41959408875462	26.7944673710633	-8.70878467875175	6.0243349491831e-10	3.68917808146699e-07	12.304251557271	6.43307038030267	SNRPF
-5.25811624435131	15.4886856598461	-8.67529197727207	6.57580394383253e-10	3.89265674128407e-07	12.2263290688443	6.40975389115438	C17orf53
20.7049531677768	24.1844100261629	8.6376825662747	7.25669887919255e-10	4.15715210953485e-07	12.1386200963062	6.381204084437	SLC7A2
-10.5001176636963	23.2563442600395	-8.60912234047436	7.82143509677469e-10	4.24266011239197e-07	12.071867460281	6.37236175900057	CDCA7
-6.65836228928969	13.3669532806301	-8.6060997447075	7.88376506047272e-10	4.24266011239197e-07	12.0647954409376	6.37236175900057	FANCB
-4.17428466892274	28.4974031954749	-8.59314160018983	8.15676655658757e-10	4.26047109642466e-07	12.0344609398825	6.37054237665647	SNRPC
-8.27470762880362	25.0645665908439	-8.54534991118775	9.24966518736322e-10	4.47633864804786e-07	11.9223569293096	6.34907706525917	EZH2
-11.4696639651967	22.6007917603337	-8.53874437986181	9.41203774216242e-10	4.47633864804786e-07	11.9068345849216	6.34907706525917	CDCA8
14.5267412418006	18.9843774751607	8.6335518920974	9.5782909299971e-10	4.47633864804786e-07	11.8513771649002	6.34907706525917	AOX1
13.7985177963749	16.8449142568583	8.91315959560827	8.50341879675899e-10	4.31463469747551e-07	11.8445373544406	6.36505596833498	KCND3
4.52093178208041	27.8259705006345	8.49521833934374	1.0557087657066e-09	4.76229743402849e-07	11.8043837097371	6.32218348378973	NUDT16
-11.1507105437288	22.2631232060054	-8.48350761508281	1.08887263373501e-09	4.76229743402849e-07	11.7767691657642	6.32218348378973	PTTG1
