ER-1	ER-2	ER-3	ER-4	ER-5	ER-6	ER-7	ER-8	ER-9	TNBC-1	TNBC-2	TNBC-3	TNBC-4	TNBC-5	TNBC-6	TNBC-7	TNBC-8	TNBC-9	TNBC-10	TNBC-11	TNBC-12	TNBC-13	TNBC-14	TNBC-15	WHIM30-1	WHIM30-2	WHIM30-3	WHIM30-4	WHIM2-1	WHIM2-2	WHIM2-3	
C03680	19.51491589	23.84194426	20.32244505	19.44281818	19.02732915	20.0254714	19.010843	19.05681026	22.64498079	21.15004062	14.37131014	19.59973626	18.60636073	17.55396986	22.72396925	19.45107199	19.40882081	18.24509845	19.27350439	18.8542663	18.63982541	19.08784309	19.34237309	18.31841265	19.68296145	20.54298408	21.68891758	21.34855831	22.45134561	22.63830861	22.56821082
C00847	26.20029628	20.75426493	19.71346737	21.60056549	19.75960397	19.98979279	19.05383841	21.21537222	19.2910568	19.0247979	19.46701029	19.42145841	20.46663394	18.21817901	18.83157642	19.04014135	19.52471415	19.80372473	20.68932619	20.58517229	20.03191908	21.04778375	18.73499952	20.02838879	21.86825406	21.91803334	22.09391798	21.52430178	21.26241782	21.09694414	21.39599819
C00906	25.44481693	28.00447728	27.59305744	25.0831052	25.00303857	25.75342684	25.8379281	25.59427293	28.09688583	25.97537085	24.1610263	25.38690098	26.61905391	25.44491129	26.17292141	27.29468605	26.35344372	27.60120648	27.13879878	25.33793227	25.51012188	24.93633828	26.82982818	25.29418988	22.58644565	22.83672644	23.08872637	22.45592373	23.12591183	23.16504515	22.9420726
C00429	19.72200622	19.70723494	18.87631888	18.61904546	18.72854007	20.15306155	19.23695924	18.55213415	21.6884446	18.81884575	18.43905359	19.69072584	18.85720854	18.22137553	22.24118698	19.98564694	19.99421853	18.40184489	18.72847447	21.41319718	20.84635534	19.16757235	19.24757079	18.94136647	21.76622946	22.64417476	22.64063511	21.83313259	22.5881249	23.0408638	22.98668258
C05635	20.67807788	24.69720609	22.7147535	21.22920204	22.74426011	23.59822756	22.53814968	22.38751509	24.73509556	23.44670026	23.36094078	26.86376168	21.19026303	20.94568523	27.14385236	25.76357148	24.29377419	22.79305382	22.32005663	24.92358423	26.46885951	22.26212727	23.29234058	25.83139888	26.0050401	25.7081387	25.5713771	25.42464371	20.9852945	20.97016404	20.74158761
C05660	21.18569268	23.26902724	21.38476749	22.5859495	20.99834861	23.00034381	21.80067381	21.14862581	22.61428978	23.20423188	19.49689428	22.90252563	20.92640521	19.24689454	21.82722724	21.93162436	21.84859206	19.74501785	22.03438776	22.60920489	21.65608275	22.09213898	20.92098186	21.13952186	24.80417571	24.04634044	23.91994449	23.68953581	23.29283919	23.3208679	23.66517661
C00170	19.8701534	24.75330813	24.74795894	23.03130772	23.47303016	24.18573622	24.2306511	23.00679256	25.60286731	25.16748978	22.82848831	24.78056681	20.60338074	21.12512061	25.61499708	24.21589136	25.12605729	23.0002808	23.06967783	24.84331936	25.65156869	22.63331652	25.05344144	22.69895087	24.57779468	25.69624946	26.65510739	26.32139868	25.26299243	25.17966282	26.09793453
C01879	27.27675592	27.68137835	27.97358801	27.53565128	26.78770568	27.96054925	27.51757099	26.58206913	27.36555804	30.27565682	25.43121351	28.48760293	28.23283556	26.60220914	29.30305864	28.16702995	27.50406135	25.51981252	25.98339852	28.80055588	27.15750755	26.73994095	28.9029495	31.2907713	26.328891	27.14301986	27.40464439	27.43124143	27.12485688	27.38745809	27.44690892
C00345	19.85201435	28.8240774	23.81265879	24.09885025	23.75227558	23.11071293	22.09590307	20.15304213	22.49920287	26.70799071	21.67721617	23.12368087	19.45812707	19.82204103	24.39906949	23.64560117	23.08332993	21.61229813	20.08195588	22.04269953	22.71365336	22.49566713	23.21227866	27.28891693	23.32324354	24.88696101	25.0177473	25.01844838	23.25665026	24.69280207	23.19355019
C03242	25.21187959	25.02745393	26.78937447	25.78041671	24.69358919	28.08367224	26.63910841	25.83463445	25.55598409	27.10880468	26.30533299	28.54966484	25.08848204	26.95283931	29.39739894	26.87096884	26.59786533	26.0303706	24.98463843	28.14936924	25.71457682	25.4267395	28.70321745	28.67389473	27.43022257	26.98627203	26.12391421	26.44078138	30.10537234	28.24578888	28.87331792
C14825	26.30566648	24.78888045	23.97404139	25.68464432	24.08239186	24.0967934	23.53914597	23.91258138	23.66077248	23.67069646	24.02373083	24.72224202	25.49120075	23.46660489	23.01610254	24.01646252	23.32787152	24.44643634	23.5044564	22.75101549	22.61687025	23.9197486	22.91756819	25.29796598	23.59047393	22.91132252	22.64102331	24.25121216	23.86795425	23.8560555	24.62271258
C14828	23.43801691	24.72125405	23.61305042	23.79667392	22.7853293	22.50230539	22.2699563	21.89624668	21.44157221	22.69319499	20.61776273	21.24661266	24.22698437	20.97690552	20.15161941	22.59566709	21.32339483	22.19783517	21.84877165	19.46437955	21.25778064	22.34039253	21.20319487	22.43117809	22.30552153	22.38989154	22.37762499	24.26474892	22.47187089	22.01439732	23.57355908
C18170	29.57980655	31.04599973	30.17537653	29.95385844	29.90296228	30.19688829	30.07962029	29.37359583	31.27027851	30.49460612	29.29622345	31.45785332	28.80370528	28.56032123	30.97558737	30.2274665	30.71861361	29.18588088	29.78975799	30.8535047	30.92282398	29.65366565	31.34601476	30.34716032	31.22459234	31.37483166	31.65505387	31.58326198	31.77751243	31.88343514	31.8130314
C01996	27.41368129	28.51265553	28.71867837	28.05253263	28.00198069	28.10165397	28.29080561	26.87766593	29.2908265	28.57245129	28.01480791	28.82636168	26.55793585	26.4825402	29.2646483	29.39713945	28.35996999	27.98765361	27.48994599	28.93083316	28.70506273	27.73519771	27.99350558	29.0985423	28.67026394	29.08304574	28.29901439	28.51457883	27.82794689	27.48621189	27.59348446
C00147	24.78007179	26.96540427	27.27675477	26.27234007	25.67394649	27.90616746	25.94532436	24.29383459	27.53177536	25.91924611	24.66515072	25.31279568	27.33986503	24.85021543	28.00232184	24.966305	25.21211772	24.44140599	26.24391366	27.68991111	25.90503026	27.0024801	28.0612685	24.29634008	26.11679178	26.61851399	26.14867344	26.43106717	26.98207622	27.03253873	26.87673119
C00212	28.30332422	30.24526547	30.39794688	29.13818455	28.04189148	30.62557394	28.13270746	25.00235336	29.10270726	26.77619314	25.41857211	26.06874412	29.73187633	28.10020383	28.35486662	27.39166845	26.80384028	25.97983214	29.90454578	27.59550238	27.95126822	30.72983689	30.35985006	25.65531822	29.35703872	27.61792631	25.94394188	25.66482119	27.47732078	27.95736293	27.88889465
C06104	22.32381645	22.02578034	22.01956226	21.60583683	21.08685527	20.7795042	20.97407046	20.15014501	20.62686394	20.65197597	20.67225459	20.75468412	21.81284477	20.29736232	20.29458705	21.19000032	20.47179272	21.56461355	20.7816311	19.51803002	19.94788425	21.04293133	20.87003759	22.93487501	20.11475155	20.52893613	19.93174959	20.58111337	20.53804561	21.25671229	20.86824769
C00008	22.08452844	28.61737787	27.90032958	27.77461307	28.18275354	27.62443723	26.53958473	24.84057769	27.02137108	28.09107365	26.26119815	25.499111	22.42739498	21.6067558	27.08709596	28.59015806	27.70181113	26.47780064	25.92553222	27.49181928	27.36793712	26.32933104	28.40268954	25.6602822	28.07919628	29.06393791	29.07291259	28.73135211	27.17225141	27.92764635	28.8347064
C06192	17.28974044	22.50592171	21.38893613	20.86752299	21.7240933	21.81511841	19.90851094	18.93481279	21.41394027	22.74161995	20.32249032	22.28596271	18.58853048	18.20010887	23.73465546	23.0999077	21.60736316	20.7803567	20.07135523	23.21206697	21.90246048	21.61056263	23.10770744	23.41170895	22.21638525	22.78442338	22.95854043	22.78680615	23.14480444	22.81254549	22.48471339
C00301	20.68431278	20.03832075	22.42846536	23.41457161	21.41066021	22.6773272	21.71248971	20.10846812	22.45957638	20.76371992	21.27733593	23.37925831	21.17237073	22.22881945	26.02613352	25.11000601	21.78296251	22.44631105	22.79688086	22.54892524	23.66879776	24.78778382	24.39480337	20.0557292	23.1437633	23.09171601	22.23575301	21.83445604	23.52403232	23.35306663	22.68231652
C00788	19.38267154	23.33440199	18.4081505	19.47346561	21.29265387	20.15854482	20.17999831	17.86846726	21.07045993	18.21618245	16.39701202	18.96198517	13.93518458	15.78180964	19.33348364	18.72831704	19.48544694	16.38675628	17.96869369	20.65830419	20.90038908	19.59580039	17.22228423	19.42903107	23.98721773	25.56216187	26.08576955	25.33392387	21.99702898	23.33017675	24.26764566
C00267	29.11177207	26.68691204	27.18842025	27.62068582	27.47345455	27.57710425	26.51924599	27.00557758	27.37919636	25.26460255	25.53181504	25.24003768	28.31184777	27.41731305	23.97393432	27.26274055	23.99875555	27.35195269	28.07722679	23.47315475	24.54009676	28.024318	24.82676883	27.1534104	24.07393885	25.18648823	25.58952847	25.14468587	24.99348735	25.90404808	25.18211329
C00020	25.74968933	29.03932701	30.24046656	28.37666438	27.86172169	28.70119662	28.31674785	25.85376809	27.60010611	30.37493658	27.52560212	27.32299454	24.86733018	24.42351246	30.43262392	29.45071479	28.48433052	27.62546098	27.23422801	30.78761862	28.43732694	29.24631604	30.50276312	27.47506679	29.55534328	30.6346353	30.23587155	29.69326857	30.9397681	31.34238942	30.66452124
C00108	21.20070267	23.87810855	23.1035115	23.8806397	23.88883539	23.95210253	23.27260128	21.90335791	24.26892503	23.15498186	22.88047568	23.86552672	22.61088907	21.69054096	23.67812862	23.85646982	23.79978747	22.39778211	22.68583959	23.59963347	24.06502387	23.41042829	23.88512174	24.14086411	23.46061337	23.15610083	23.89469337	23.77673092	22.91294721	23.2035656	23.73482946
C00219	27.2348632	27.29950621	29.45464943	28.86118047	27.47520086	30.52843178	29.70946319	27.92360238	29.29757465	29.2480243	28.49090837	29.64443987	27.05936763	28.56799516	30.99914238	29.86081225	28.56159176	27.83068303	27.15282039	30.09323509	29.84895928	28.41256798	29.76566505	31.19132649	29.60951215	28.82860366	28.37860918	28.64056883	31.39956225	30.87303932	30.88522309
C00062	24.5491158	27.88689428	27.65335783	26.11969004	26.2074156	26.87924852	26.80577115	25.33530179	27.52840275	27.24870121	25.24721167	27.88367237	25.68562554	24.96234685	28.14796904	26.5936284	26.76764799	24.65969174	25.41873625	27.61598218	26.86556979	25.72777292	27.37747057	27.96973872	26.54208259	28.16026853	28.44949071	28.36907125	25.86597457	27.00941186	26.0817679
C00049	25.44967285	28.82821516	28.4338847	27.58430954	28.04600443	28.46330105	28.21658974	26.68386434	28.77235171	29.06509018	27.82508318	27.49343077	26.01023423	27.29134284	29.31326551	29.47467813	27.97039142	26.96799877	26.82890931	27.48142432	27.60068761	28.28488592	28.95710238	29.86348507	26.68182811	27.27162832	28.20261868	28.26143194	28.00987749	28.18048441	28.04472691
C00002	20.29354833	27.83403737	24.69642191	26.38742643	27.14903498	25.55192265	24.38241553	24.03786831	25.39631116	24.75579433	25.63561366	22.64716472	20.29051023	19.07229293	23.37964384	26.59726954	25.8978241	24.89560145	24.31984985	23.69375273	24.88741854	23.95813287	25.0576713	22.59734758	25.90142101	25.96716666	25.82315783	25.86397095	21.41464383	22.02861618	22.90174797
C08261	28.02418021	29.56684786	28.26290412	27.79378044	26.36849642	26.79073532	23.52964572	23.02823279	23.54353477	23.35209673	23.5948913	22.85448961	27.11654435	23.98732949	24.57985501	24.750719	23.21917541	24.26072856	23.40251509	22.15304099	22.79651818	23.52957612	23.71366948	24.52114351	26.23808259	26.23422629	26.49777691	28.59757421	26.6283942	25.77216385	27.45977239
C00180	22.88306223	25.66062777	25.02844134	24.08916915	24.55926809	25.45500701	24.59993445	24.33098737	25.22023877	25.14681923	24.05702539	25.62611502	24.18851009	23.34440737	25.42352457	24.56668792	25.12910333	23.97281745	23.5911505	25.61668079	24.98071184	24.06903122	25.03210961	25.5449889	25.58159813	25.42697158	25.23130323	25.33094187	25.34451717	25.32225876	25.380542
C05378	20.49296188	25.91034583	23.85764745	24.18272586	23.28354809	24.22993352	22.8883987	20.59330227	22.28610413	25.81841718	22.37550508	25.8344339	21.32041715	21.53945999	27.40400819	26.58155799	24.64531501	23.335587	21.68439497	25.53902571	24.40528872	23.23093496	25.04512666	28.69964677	24.82146587	26.78785894	26.58907968	26.99229358	24.82172025	25.55229126	24.94762527
C00486	21.95964459	23.05089977	23.38369939	23.96034406	23.59245204	25.04786021	24.40739485	25.04033864	24.96086823	23.73911672	23.4703635	23.93242612	22.97729387	21.82866652	23.45328995	24.31540168	23.93201525	24.4987157	24.33747383	24.113983	24.37839452	24.82429673	22.6240159	23.5326234	24.38283877	22.31072395	22.54562991	21.79058479	22.14189467	22.8270878	22.86316068
C00120	19.33427208	22.84809957	21.93639711	22.45280885	22.11634821	22.91305747	23.47706138	21.45199199	22.79490218	23.33543033	20.50873448	19.57330509	21.33264852	20.36764344	19.5087752	21.12973678	21.73426041	20.61518475	21.19877701	22.73890872	23.78701531	20.29592613	23.14182164	22.52278026	21.90957732	22.6272739	22.92383746	22.6108276	24.67307376	24.77752981	25.14777696
C02862	26.84658514	33.58683644	32.01468853	31.53773235	31.8183419	30.55982202	28.96169554	27.85033012	32.24056652	32.84926606	28.65287316	30.36583997	25.7894374	27.27542225	31.52991909	29.94151797	30.60933276	29.11601078	28.06200708	31.38058885	30.48849957	29.66856515	30.8636181	31.33013462	31.78349096	32.71179962	32.7120011	32.77710444	31.43659374	31.03967893	30.52333529
C01571	25.63535843	26.85199033	25.70918625	25.75187699	25.78458077	25.49371874	25.48934803	25.74302968	25.96171924	26.44274124	25.47359949	26.05531042	26.01094425	24.75790482	24.86235521	25.61695206	26.38475067	25.31870963	25.58628661	24.84617918	25.39138649	25.78979089	25.38071655	25.53504304	27.21635447	24.65028524	24.69817336	24.96184121	25.73074021	25.70746263	26.34502686
C00386	19.79542035	21.79720034	22.99085949	22.86688874	22.79737367	23.35195071	25.04034166	21.01044374	20.70597649	22.87285228	21.82751925	22.20263347	19.44681473	21.96645528	24.08902792	24.47009487	21.47560281	20.97170215	22.64097082	19.86353538	22.96239634	22.58884194	21.93881204	24.12040247	22.46525423	25.17253016	23.03763522	24.44451553	23.5312227	23.81828133	21.96132878
C00112	15.86931859	22.18253075	21.4560681	22.16616943	21.83256948	21.17465302	19.98117171	18.41212251	18.43053152	22.71428258	20.35827021	20.5236133	18.6051141	15.93367185	19.59674785	22.55730172	21.21218625	21.73229658	20.46936943	19.9335066	20.86346192	21.9104513	21.82850335	19.58486896	22.78812559	22.99186431	23.8125724	23.53321956	24.5978285	25.92523196	26.29043422
C00307	19.09539031	26.7580548	26.07040319	24.20400939	25.03454153	25.58603439	24.79096736	22.79795887	26.73448878	25.43842394	24.87588611	27.65570969	21.81037301	21.89210385	27.09671887	25.2701654	26.78405964	23.81482016	24.45845602	27.6039883	26.77441329	23.87348616	26.73722668	25.39268795	26.47955102	26.96855297	26.99964404	27.01135315	28.16777063	29.55332718	29.74497412
C00570	20.7497632	24.26837163	24.29744775	23.63798604	23.75289989	23.6615581	23.42000307	22.10907421	24.33962971	23.53893758	23.12871999	25.02463663	21.8366531	21.42746839	24.58522025	24.43884811	24.6017469	22.93810742	22.67119924	24.93504501	24.24989619	22.95698904	25.35397129	23.84029715	24.71672294	24.96775893	24.85642097	24.92120428	25.378864	25.78150179	25.92205088
C18043	17.06001723	21.46054443	20.43833627	20.91461086	20.30154418	19.78878209	14.40069142	20.79841139	18.07136097	18.44821144	19.71474275	21.91440246	20.41505959	20.10131528	19.11858457	18.99903695	18.82103776	21.26506092	19.35069105	14.95270676	9.965784285	25.73506912	19.48943156	23.37257084	21.60940281	18.80424081	17.90824808	21.78106862	17.62080788	18.5570687	17.10906099
C00114	31.26695883	32.72973717	32.11311222	32.29979908	32.3931682	33.15915364	32.66354655	32.1486415	32.565583	32.36187986	32.39152599	33.16381806	31.47059869	31.71462059	32.80364815	33.03600322	32.55632407	31.74234086	31.62197257	33.57632005	32.54629759	32.37973756	33.07781921	33.37214383	32.19669673	32.37695109	32.70390198	32.88670836	33.08973148	32.69995611	32.8287462
C00588	28.25335231	32.84325619	32.28707195	32.01334381	32.51885396	32.32204093	31.71466582	29.85865526	30.75910359	33.01704576	30.51011167	31.94828968	29.58528757	28.81924761	33.19548114	31.96048455	31.11508887	30.70598409	30.15347388	33.00013446	30.88847065	30.54449562	33.0625792	32.46756422	32.17745363	33.06344798	32.87939835	32.94257105	33.54661928	33.61636007	33.50018986
C00417	23.50796276	25.32990165	24.8772629	25.19345757	25.07387452	25.02876579	24.64706137	23.98286848	26.43204745	24.50623591	24.76626762	24.98658057	24.65186876	23.30024401	25.37784019	27.04102869	25.85333023	24.28269752	24.59565235	24.57553868	25.62590771	26.42472771	25.02910808	25.81687096	25.45688218	25.54909456	25.73208048	25.6378221	25.22614306	25.41173501	25.67161355
C00158	28.89054833	31.46991115	30.97208311	31.11741585	31.2133753	30.96616511	30.8373822	30.00030579	30.78095551	30.94965539	30.24401503	30.7532019	30.62635822	29.61877874	31.35533767	31.22946787	31.20619489	30.43016226	30.29950839	31.21358607	31.13602172	31.09893874	31.25479115	31.48627537	31.47375637	31.84519876	31.90375095	31.83035021	31.56851185	31.68519256	31.61444991
C16513	25.15884634	23.82654062	24.50554394	25.24796948	23.88475924	26.47420921	25.21262673	25.79748963	24.26557008	26.50693335	26.09076377	27.27629587	24.46483054	26.27225897	27.76005031	26.54223921	25.14824456	25.98238984	24.31366048	27.56436231	24.56926085	24.57164598	26.30507829	27.37761309	25.84831802	25.2636966	24.9712325	25.04675127	28.08407645	26.9954191	27.50953069
C00055	21.45140705	24.16306862	24.22581615	23.57073545	22.99553774	24.11506168	24.0395906	21.44383069	23.33888857	26.11655616	22.05425408	24.04914216	24.25912346	23.25832893	24.40859268	23.89764175	23.86624667	23.18424516	22.59177089	24.14630261	24.21360058	24.41799254	24.74594168	24.425516	23.82486691	24.32694811	24.40261068	24.02581777	25.98350921	26.82760826	26.42324674
C05673	13.79849205	19.9849384	20.18791537	18.82512015	18.76784061	19.30425176	18.49686043	17.51046323	19.86890286	21.91275251	18.16485271	21.09156341	15.88543211	16.58974327	22.25375337	20.40670002	20.39931479	18.9229342	17.90237324	22.78816184	19.78042163	18.42317544	21.2394167	20.01484448	20.10760376	20.66412906	20.96852062	20.99223604	22.63511488	20.67869611	19.8947148
C05674	15.14690326	21.11499914	20.34133513	18.66689358	18.85984325	20.55019008	19.48452438	17.60143523	21.24725167	22.56346924	19.81198438	22.48250091	17.50250957	17.78606119	23.24786143	20.52728893	21.70098253	19.21040853	19.06719177	23.4372355	21.1208253	18.48424777	21.86574451	20.15607386	21.79310649	22.30027614	22.91230151	22.88900461	25.46316323	25.60926912	25.40231832
