logFC	AveExpr	t	p_value	adj.P.Val	B	logP	name
2.86397285338518	22.6433199917051	9.24611253529239	1.51727243963958e-10	3.32282664281067e-08	14.1148490660048	7.47849231596915	C02045
2.43905385872007	26.2285365734581	7.80116998732128	6.83198828167056e-09	7.48102716842927e-07	10.3759397237159	6.12603876805073	C00267
-1.81980078838602	27.1211388071707	-6.80042403712276	1.10472300746328e-07	6.21678655835481e-06	7.63667275291854	5.20643404305809	C00073
-3.77525043910626	20.914425823827	-6.79072845564013	1.13548612937987e-07	6.21678655835481e-06	7.60963861510756	5.20643404305809	C05674
-2.19643855505363	21.3571467415012	-6.5794750823488	2.07006936569496e-07	9.06690382174394e-06	7.01863282787418	5.04254099107578	C00255
-2.37080484959512	21.5899524306679	-6.45175440242584	2.98160362217758e-07	1.08828532209482e-05	6.65962091409656	4.9632572281982	C00242
-2.99522735131272	22.0749918479603	-6.3283443006385	4.2470040210472e-07	1.32870554372762e-05	6.31164059818115	4.87657125299491	C02985
-2.80458226078242	21.9677550015504	-6.2779244010683	4.90892721364795e-07	1.34381882473613e-05	6.16919049395789	4.87165927943786	C03413
-3.11349531710659	26.6847361429881	-6.15439374833027	7.00508349867806e-07	1.70457031801166e-05	5.81956124384864	4.7683850782752	C00106
-6.76538923240904	17.1350679114735	-6.0609212775287	9.17348291144892e-07	1.91269125919477e-05	5.55447992166977	4.71835512680972	C00010
-1.78861079483511	26.5695258125926	-6.04492956202942	9.60712504618375e-07	1.91269125919477e-05	5.50908790219096	4.71835512680972	C03793
-7.05058470911116	19.3946416921986	-6.00247514225957	1.0861129735896e-06	1.98215617680102e-05	5.38852920889778	4.70286212984533	C02291
1.44358242660827	24.2042314604252	5.95976246355091	1.22891370306731e-06	2.07024693055185e-05	5.26716391873262	4.68397785059129	C00022
-1.41006256808489	30.5007513047856	-5.91665360823488	1.39220935036438e-06	2.17781319807e-05	5.14460447463002	4.66197937459248	C18170
-1.40198126075719	30.504922302116	-5.86610421154077	1.61170928820386e-06	2.35309556077764e-05	5.00081221140813	4.62836043547774	C00148
-4.48909981054236	19.5199025106382	-5.79553361855498	1.97756149881177e-06	2.7067873014986e-05	4.79994367723963	4.56754586961358	C00365
-2.26221097819732	26.9934267919484	-5.54746855165372	4.06438584921847e-06	5.23588529987556e-05	4.09312877193635	4.28100987590599	C00013
-2.67090417154088	25.3404110840675	-5.47116041979039	5.07411350398655e-06	5.74691358127192e-05	3.87561988120754	4.24056533348383	C00144 
-2.87318824472687	24.377303931344	-5.46189518871524	5.21270479337447e-06	5.74691358127192e-05	3.8492117756372	4.24056533348383	C05378
-1.96197887824687	22.91796800424	-5.44463916886659	5.48100737863446e-06	5.74691358127192e-05	3.80002969294108	4.24056533348383	C00624
-2.71308319166141	19.6277819303741	-5.44277925810533	5.51073905053472e-06	5.74691358127192e-05	3.79472883215561	4.24056533348383	C05673
-1.60615959765108	28.2925100879113	-5.32636779457016	7.73180736801755e-06	7.69666278907202e-05	3.46303762288423	4.11369754060089	C00047
-6.12318646245647	17.9114980102875	-5.28194959716214	8.79832675757954e-06	7.80668264852086e-05	3.33654322952526	4.107533474894	C00447
-1.24415989973365	30.1047315743861	-5.25889066944225	9.40874952922491e-06	7.80668264852086e-05	3.27089548037782	4.107533474894	C00079
-1.60444951010096	25.9809103720221	-5.25589064941774	9.49121730008711e-06	7.80668264852086e-05	3.26235564160359	4.107533474894	C06178 
-4.20443656426683	17.3307699674937	-5.25118798872147	9.62194481636144e-06	7.80668264852086e-05	3.24896959999349	4.107533474894	C01762
-1.74278172248733	23.9454514092099	-5.25109037782277	9.62467723790243e-06	7.80668264852086e-05	3.24869175911667	4.107533474894	C00570
-3.03553055794716	25.6605013159257	-5.19823807306139	1.12240390677221e-05	8.724386814102e-05	3.09829619776904	4.05926508730404	C00307
-1.17999867186739	31.1943826146922	-5.18830996619568	1.15528409867104e-05	8.724386814102e-05	3.07005547454444	4.05926508730404	C00407
-1.5157142306005	30.8640039586235	-5.10473692388365	1.47305014081811e-05	0.000106009448339881	2.83248395819127	3.97465542549931	C05938 
-1.51798447318778	30.8281608449321	-5.09836408400258	1.50059036462846e-05	0.000106009448339881	2.81438041695883	3.97465542549931	C00025
-2.21349826919906	21.6036668563098	-5.08404016165996	1.56437970118079e-05	0.00010706223579956	2.77369700104166	3.97036369140959	C06192
-1.59403025673972	31.7662216701337	-4.99635927110241	2.01819412971279e-05	0.000133934701335485	2.52489390771789	3.87310688642327	C00670
-2.33029666099881	26.9444146082096	-4.95865876997768	2.25161582219604e-05	0.000145030548547333	2.41805129470952	3.83854051039825	C00105
-0.987169768016855	27.5475868340245	-4.93690521036959	2.39833538616846e-05	0.000150067271305969	2.35644334947319	3.82371401422631	C00041
-2.39203240526748	27.5465853775987	-4.89282927903459	2.72541232659448e-05	0.000165795916534497	2.23171565096336	3.78042617009681	C00385
-3.01764954315023	23.9331761620462	-4.84374484942867	3.14209095697654e-05	0.000185977816102125	2.09298246351432	3.73053885642195	C00167
-1.23146216432776	29.7049649074834	-4.8283013133252	3.28585268866052e-05	0.000189368878635961	2.04937152127997	3.72269139253034	C00149
-1.86160753146797	26.5333939389469	-4.75538873198465	4.05790621199555e-05	0.000226000811932352	1.84374602698495	3.64589000059991	C00800
-2.08202414452898	22.3038115983095	-4.74508220935811	4.18067859493692e-05	0.000226000811932352	1.81471811378519	3.64589000059991	C03406
-3.59137815357558	28.0279874447246	-4.73449131494423	4.31067939698396e-05	0.000226000811932352	1.78489961660306	3.64589000059991	C00051
-7.58241529175385	18.3694505433961	-4.72965100867004	4.37142113965796e-05	0.000226000811932352	1.77127534450887	3.64589000059991	C04376
-1.73642060601568	29.1451501203285	-4.72446382937866	4.43745886442517e-05	0.000226000811932352	1.75667719689506	3.64589000059991	C00153
-1.32319841357463	34.5338951843655	-4.68939488971193	4.91063492167611e-05	0.000244415692692515	1.65805258098981	3.61187091368736	C00186
-2.05341308344404	20.1863945654523	-4.67191139236212	5.16489724340879e-05	0.000244880058905973	1.6089298167314	3.61104657894104	C00429
-0.936606880695383	31.6008439503131	-4.6703205409198	5.18867086857217e-05	0.000244880058905973	1.60446162307208	3.61104657894104	C00719
-1.85197962292809	26.8508369722159	-4.66105418331371	5.32931891911466e-05	0.000244880058905973	1.57844064333699	3.61104657894104	C03242
-2.33221734456319	26.2706871151002	-4.65859767662216	5.36723416780215e-05	0.000244880058905973	1.57154400968848	3.61104657894104	C00029
-2.09987948064434	24.1646933235678	-4.61754833170713	6.0418551051625e-05	0.000264362331219556	1.45639438682223	3.57780042705685	C00170
-1.46670943357503	28.6659344781107	-4.61588671413328	6.07086427029428e-05	0.000264362331219556	1.45173720295085	3.57780042705685	C00042
-1.72425043120439	22.881222506096	-4.61103365999328	6.15638305579788e-05	0.000264362331219556	1.43813683355227	3.57780042705685	C00352
